State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,6/1/20 2:32,32.3182,-86.9023,17952,630,9355,7967,1,366.1293629,217553,1844,3.509358289,84000001,USA,4436.97311,10.27183601
Alaska,US,6/1/20 2:32,61.3707,-152.4044,459,10,368,81,2,62.74391869,51695,,2.178649237,84000002,USA,7066.55093,
American Samoa,US,6/1/20 2:32,-14.271,-170.132,0,0,,0,60,0,174,,,16,ASM,312.7190381,
Arizona,US,6/1/20 2:32,33.7298,-111.4312,19936,907,4761,14268,4,273.894424,225206,2998,4.549558587,84000004,USA,3094.034292,15.03812199
Arkansas,US,6/1/20 2:32,34.9697,-92.3731,7253,133,5275,1845,5,240.3403269,129515,711,1.833723976,84000005,USA,4291.696876,9.802840204
California,US,6/1/20 2:32,36.1162,-119.6816,111951,4172,,107779,6,283.3325779,1944848,,3.726630401,84000006,USA,4922.1427,
Colorado,US,6/1/20 2:32,39.0598,-105.3111,26364,1445,3919,21000,8,457.8087969,180627,4333,5.480958883,84000008,USA,3136.57372,16.43529055
Connecticut,US,6/1/20 2:32,41.5978,-72.7554,42201,3944,7127,31130,9,1183.663475,250046,12538,9.345750101,84000009,USA,7013.348435,29.71019644
Delaware,US,6/1/20 2:32,39.3185,-75.5071,9498,366,5266,3866,10,975.390341,60671,,3.85344283,84000010,USA,6230.565106,
Diamond Princess,US,6/1/20 2:32,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,6/1/20 2:32,38.8974,-77.0268,8801,466,1116,7219,11,1247.043921,46483,,5.294852858,84000011,USA,6586.335935,
Florida,US,6/1/20 2:32,27.7663,-81.6868,56163,2451,,53712,12,261.4940298,1021349,10453,4.364083115,84000012,USA,4755.384611,18.61189751
Georgia,US,6/1/20 2:32,33.0406,-83.6431,47063,2053,,45010,13,443.2619855,465525,7946,4.362237851,84000013,USA,4384.538508,16.88375157
Grand Princess,US,6/1/20 2:32,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,6/1/20 2:32,13.4443,144.7937,172,5,144,23,66,104.7318074,6102,,2.906976744,316,GUM,3715.54354,
Hawaii,US,6/1/20 2:32,21.0943,-157.4983,652,17,606,29,15,46.04936039,54620,83,2.607361963,84000015,USA,3857.693351,12.73006135
Idaho,US,6/1/20 2:32,44.2405,-114.4788,2839,82,2248,509,16,158.8638354,46697,242,2.888340965,84000016,USA,2613.055485,8.524128214
Illinois,US,6/1/20 2:32,40.3495,-88.9861,120260,5390,,114870,17,949.0348704,898259,,4.481955763,84000017,USA,7088.633907,
Indiana,US,6/1/20 2:32,39.8494,-86.2583,34574,2134,21704,10736,18,513.5602392,261546,5285,6.172268178,84000018,USA,3884.989481,15.2860531
Iowa,US,6/1/20 2:32,42.0115,-93.2105,19552,535,11147,7870,19,619.7009892,156296,,2.736292962,84000019,USA,4953.804511,
Kansas,US,6/1/20 2:32,38.5266,-96.7265,9700,215,547,8938,20,332.9541546,94949,842,2.216494845,84000020,USA,3259.140621,8.680412371
Kentucky,US,6/1/20 2:32,37.6681,-84.6701,9704,431,3232,6041,21,217.2047954,213753,2272,4.441467436,84000021,USA,4784.436999,23.41302556
Louisiana,US,6/1/20 2:32,31.1695,-91.8678,39916,2791,28700,8425,22,858.6312923,375109,,6.992183586,84000022,USA,8068.952937,
Maine,US,6/1/20 2:32,44.6939,-69.3819,2325,89,1552,684,23,172.9637885,49609,283,3.827956989,84000023,USA,3690.563691,12.17204301
Maryland,US,6/1/20 2:32,39.0639,-76.8021,52778,2532,3764,46482,24,872.9869924,301881,8738,4.797453484,84000024,USA,4993.334083,16.55614082
Massachusetts,US,6/1/20 2:32,42.2302,-71.5301,96965,6846,,90119,25,1406.818394,592853,9823,7.060279482,84000025,USA,8601.418092,10.13045944
