State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate,Telemed_2019,Telemed_2020,Code,covid_level,text
Alabama,US,6/1/20 2:32,32.3182,-86.9023,17952,630,9355,7967,1,366,217553,1844,3.51,84000001,USA,4437,10.27183601,37,55,AL,Middle,"State COVID-19 info:<br>   Incident Rate: 366.0<br>   Mortality Rate: 3.51<br>   Testing Rate: 4437.0<br>   Note: per 100,000 people <br>   Incident Level: Middle"
Alaska,US,6/1/20 2:32,61.3707,-152.4044,459,10,368,81,2,63,51695,nan,2.18,84000002,USA,7067,nan,48,90,AK,Low,"State COVID-19 info:<br>   Incident Rate: 63.0<br>   Mortality Rate: 2.18<br>   Testing Rate: 7067.0<br>   Note: per 100,000 people <br>   Incident Level: Low"
Arizona,US,6/1/20 2:32,33.7298,-111.4312,19936,907,4761,14268,4,274,225206,2998,4.55,84000004,USA,3094,15.03812199,56,67,AZ,Middle,"State COVID-19 info:<br>   Incident Rate: 274.0<br>   Mortality Rate: 4.55<br>   Testing Rate: 3094.0<br>   Note: per 100,000 people <br>   Incident Level: Middle"
Arkansas,US,6/1/20 2:32,34.9697,-92.3731,7253,133,5275,1845,5,240,129515,711,1.83,84000005,USA,4292,9.802840204,40,74,AR,Middle,"State COVID-19 info:<br>   Incident Rate: 240.0<br>   Mortality Rate: 1.83<br>   Testing Rate: 4292.0<br>   Note: per 100,000 people <br>   Incident Level: Middle"
California,US,6/1/20 2:32,36.1162,-119.6816,111951,4172,nan,107779,6,283,1944848,nan,3.73,84000006,USA,4922,nan,33,42,CA,Middle,"State COVID-19 info:<br>   Incident Rate: 283.0<br>   Mortality Rate: 3.73<br>   Testing Rate: 4922.0<br>   Note: per 100,000 people <br>   Incident Level: Middle"
Colorado,US,6/1/20 2:32,39.0598,-105.3111,26364,1445,3919,21000,8,458,180627,4333,5.48,84000008,USA,3137,16.43529055,27,50,CO,Middle,"State COVID-19 info:<br>   Incident Rate: 458.0<br>   Mortality Rate: 5.48<br>   Testing Rate: 3137.0<br>   Note: per 100,000 people <br>   Incident Level: Middle"
Connecticut,US,6/1/20 2:32,41.5978,-72.7554,42201,3944,7127,31130,9,1184,250046,12538,9.35,84000009,USA,7013,29.71019644,28,67,CT,High,"State COVID-19 info:<br>   Incident Rate: 1184.0<br>   Mortality Rate: 9.35<br>   Testing Rate: 7013.0<br>   Note: per 100,000 people <br>   Incident Level: High"
Delaware,US,6/1/20 2:32,39.3185,-75.5071,9498,366,5266,3866,10,975,60671,nan,3.85,84000010,USA,6231,nan,48,74,DE,High,"State COVID-19 info:<br>   Incident Rate: 975.0<br>   Mortality Rate: 3.85<br>   Testing Rate: 6231.0<br>   Note: per 100,000 people <br>   Incident Level: High"
District of Columbia,US,6/1/20 2:32,38.8974,-77.0268,8801,466,1116,7219,11,1247,46483,nan,5.29,84000011,USA,6586,nan,100,100,DC,High,"State COVID-19 info:<br>   Incident Rate: 1247.0<br>   Mortality Rate: 5.29<br>   Testing Rate: 6586.0<br>   Note: per 100,000 people <br>   Incident Level: High"
Florida,US,6/1/20 2:32,27.7663,-81.6868,56163,2451,nan,53712,12,261,1021349,10453,4.36,84000012,USA,4755,18.61189751,44,71,FL,Middle,"State COVID-19 info:<br>   Incident Rate: 261.0<br>   Mortality Rate: 4.36<br>   Testing Rate: 4755.0<br>   Note: per 100,000 people <br>   Incident Level: Middle"
